선종,상태,state,vessel_type,nation_type,filename
낚시어선,조업,0,8,1,1. 낚시어선 조업.jpg
범장망,조업,0,3,0,1. 범장망 조업.jpg
낚시어선,표류,2,8,1,1. 낚시어선 표류.jpg
등광조망,이동,1,2,0,1. 등광조망 이동.jpg
등광조망,표류,2,2,0,1. 등광조망 표류.jpg
범장망,이동,1,3,0,1. 범장망 이동.jpg
범장망,표류,2,3,0,1. 범장망 표류.jpg
안강망,이동,1,4,1,1. 안강망 이동.jpg
안강망,조업,0,4,1,1. 안강망 조업.jpg
안강망,표류,2,4,1,1. 안강망 표류.jpg
연승,이동,1,5,1,1. 연승 이동.jpg
유망,이동,1,1,0,1. 유망 이동.jpg
유망,조업,0,1,0,1. 유망 조업.jpg
유망,표류,2,1,0,1. 유망 표류.jpg
저인망,이동,1,7,1,1. 저인망 이동.jpg
저인망,조업,0,7,1,1. 저인망 조업.jpg
저인망,표류,2,7,1,1. 저인망 표류.jpg
낚시어선,이동,1,8,1,1. 낚시어선 이동.jpg
연승,표류,2,5,1,1. 연승 표류.jpg
채낚기,표류,2,9,1,10. 채낚기 표류.jpg
채낚기,조업,0,9,1,1. 채낚기 조업.jpg
채낚기,이동,1,9,1,1. 채낚기 이동.jpg
타망,이동,1,0,0,1. 타망 이동.jpg
타망,조업,0,0,0,1. 타망 조업.jpg
타망,표류,2,0,0,1. 타망 표류.jpg
통발,이동,1,6,1,1. 통발 이동.jpg
통발,조업,0,6,1,1. 통발 조업.jpg
통발,표류,2,6,1,1. 통발 표류.jpg
낚시어선,이동,1,8,1,1. 낚시어선 이동.jpg
낚시어선,조업,0,8,1,1. 낚시어선 조업.jpg
등광조망,표류,2,2,0,1. 등광조망 표류.jpg
범장망,이동,1,3,0,1. 범장망 이동.jpg
범장망,표류,2,3,0,1. 범장망 표류.jpg
등광조망,조업,0,2,0,10. 등광조망 조업.jpg
범장망,조업,0,3,0,1. 범장망 조업.jpg
등광조망,이동,1,2,0,1. 등광조망 이동.jpg
낚시어선,표류,2,8,1,1. 낚시어선 표류.jpg
안강망,이동,1,4,1,1. 안강망 이동.jpg
안강망,조업,0,4,1,1. 안강망 조업.jpg
유망,이동,1,1,0,1. 유망 이동.jpg
유망,표류,2,1,0,1. 유망 표류.jpg
저인망,이동,1,7,1,1. 저인망 이동.jpg
유망,조업,0,1,0,1. 유망 조업.jpg
안강망,표류,2,4,1,1. 안강망 표류.jpg
연승,표류,2,5,1,1. 연승 표류.jpg
연승,이동,1,5,1,1. 연승 이동.jpg
저인망,조업,0,7,1,1. 저인망 조업.jpg
채낚기,이동,1,9,1,1. 채낚기 이동.jpg
채낚기,표류,2,9,1,10. 채낚기 표류.jpg
타망,이동,1,0,0,1. 타망 이동.jpg
통발,이동,1,6,1,1. 통발 이동.jpg
타망,표류,2,0,0,1. 타망 표류.jpg
타망,이동,1,0,0,1. 타망 이동.jpg
타망,조업,0,0,0,1. 타망 조업.jpg
통발,표류,2,6,1,1. 통발 표류.jpg
범장망,이동,1,3,0,1. 범장망 이동.jpg
